"","date","trend","low_frequency","high_frequency","prediction"
"66",2019-11-26,35.0796412328244,-8.85711070513302,2.8853166284436e-05,26.2225593808577
"67",2019-11-27,35.1291708687794,-8.95531689178192,2.54025912434951e-05,26.1738793795887
"68",2019-11-28,35.1787406602084,-9.05861467044529,2.23646734477171e-05,26.1201483544365
"69",2019-11-29,35.2283506071114,-9.14374061724303,1.96900628612486e-05,26.0846296799313
"70",2019-12-02,35.2780007094886,-9.21305762294898,1.73353112615869e-05,26.0649604218509
"71",2019-12-03,35.3276909673398,-9.2899514408075,1.52621664366308e-05,26.0377547886987
"72",2019-12-04,35.377421380665,-9.38435351461862,1.34369507893162e-05,25.9930813029972
"73",2019-12-05,35.4271919494644,-9.47919179703702,1.18300142554573e-05,25.9480119824416
"74",2019-12-06,35.4770026737378,-9.55615423096491,1.04152526476168e-05,25.9208588580255
"75",2019-12-09,35.5268535534853,-9.62198144694658,9.16968360064721e-06,25.9048812762223
"76",2019-12-10,35.5767445887068,-9.6976227868735,8.07307323027041e-06,25.8791298749065
"77",2019-12-11,35.6266757794024,-9.78757554838384,7.10760743988033e-06,25.839107338626
"78",2019-12-12,35.6766471255721,-9.87425909127433,6.2576025360481e-06,25.8023942919003
"79",2019-12-13,35.7266586272158,-9.9442672285219,5.50925045176875e-06,25.7823969079444
"80",2019-12-16,35.7767102843337,-10.0073748770944,4.85039443867946e-06,25.7693402576337
"81",2019-12-17,35.8268020969255,-10.0814397500499,4.27033158443895e-06,25.7453666172072
"82",2019-12-18,35.8769340649915,-10.1664627209471,3.75963894722377e-06,25.7104751036834
"83",2019-12-19,35.9271061885315,-10.2454658887161,3.31002048295014e-06,25.6816436098359
"84",2019-12-20,35.9773184675456,-10.3096345297769,2.91417227860135e-06,25.667686851941
"85",2019-12-23,36.0275709020337,-10.3705568448152,2.56566390241776e-06,25.6570166228825
"86",2019-12-24,36.0778634919959,-10.4426631545589,2.25883394351993e-06,25.635202596271
"87",2019-12-27,36.1281962374322,-10.5224453369627,1.98869804403827e-06,25.6057528891676
"88",2019-12-30,36.1785691383426,-10.5943613188926,1.75086792975968e-06,25.584209570318
"89",2019-12-31,36.228982194727,-10.6536814900665,1.54148012396896e-06,25.5753022461407
"90",2020-01-02,36.2794354065855,-10.7127512421239,1.35713318646342e-06,25.5666855215948
"91",2020-01-03,36.329928773918,-10.7825062037502,1.19483245820784e-06,25.5474237650003
"92",2020-01-06,36.3804622967247,-10.8568993303794,1.05194141402383e-06,25.5235640182866
"93",2020-01-07,36.4310359750054,-10.9223929809382,9.26138833052992e-07,25.508643920206
"94",2020-01-08,36.4816498087601,-10.9777152515901,8.15381091241388e-07,25.5039353725511
"95",2020-01-09,36.532303797989,-11.0351013844493,7.17868963298245e-07,25.4972031314086
"96",2020-01-10,36.5829979426918,-11.1021383650948,6.32018394837089e-07,25.4808602096155
"97",2020-01-13,36.6337322428688,-11.1711416361515,5.56434769901728e-07,25.462591163152
"98",2020-01-14,36.6845066985198,-11.2309078395738,4.89890255860983e-07,25.4535993488362
"99",2020-01-15,36.7353213096449,-11.28293655181,4.31303857647005e-07,25.4523851891388
"100",2020-01-16,36.7861760762441,-11.3386821348581,3.79723857324438e-07,25.4474943211098
"101",2020-01-17,36.8370709983173,-11.4026872054922,3.3431235372664e-07,25.4343841271375
"102",2020-01-20,36.8880060758646,-11.4664262806302,2.94331651010154e-07,25.421580089566
"103",2020-01-21,36.938981308886,-11.5211550474826,2.59132275013683e-07,25.4178265205357
"104",2020-01-22,36.9899966973814,-11.5704514266695,2.28142422751029e-07,25.4195454988543
"105",2020-01-23,37.0410522413509,-11.6245097462758,2.00858673648278e-07,25.4165426959338
"106",2020-01-24,37.0921479407945,-11.6852387315429,1.76837811632136e-07,25.4069093860894
"107",2020-01-27,37.1432837957121,-11.7439414779058,1.55689625221772e-07,25.399342473496
"108",2020-01-28,37.1944598061038,-11.7942903179645,1.37070568663897e-07,25.4001696252099
"109",2020-01-29,37.2456759719696,-11.8412823815887,1.20678181138152e-07,25.404393711059
"110",2020-01-30,37.2969322933094,-11.8935495673581,1.06246173374551e-07,25.4033828321975
"111",2020-01-31,37.3482287701234,-11.9508367518359,9.35401018665701e-08,25.3973921118276
"112",2020-02-03,37.3995654024113,-12.004807876764,8.23535604088318e-08,25.3947576080009
"113",2020-02-04,37.4509421901734,-12.0513814612957,7.25048270920789e-08,25.3995608013825
"114",2020-02-05,37.5023591334095,-12.0963787086096,6.38339122869117e-08,25.4059804886338
