Date,EUA,Banks,Basic resources,Chemicals,Financial_Services,Industrial,Retail,Technology,Telecom,Utilities
9/19/2018,21.43,96.71,2308.6,2796.75,2221.23,6842.02,414.45,1066.92,221.36,708.38
9/20/2018,21.98,98.25,2343.5,2826.45,2223.65,6877.66,410.75,1089.71,222.41,711.04
9/21/2018,22.08,99.67,2359.16,2853.53,2214.5,6894.97,408.82,1074.93,223.69,722.84
9/24/2018,22.37,98.77,2361.7,2820.39,2207.75,6867.96,406.21,1071.19,221.5,718.3
9/25/2018,21.25,98.63,2390.41,2797.72,2206.86,6856.26,405.78,1086.28,222.1,718.93
9/26/2018,20.24,97.75,2372.86,2775.25,2207.28,6911.86,402.22,1073.62,223.99,726.28
9/27/2018,20.83,97.34,2386.46,2761.04,2213.84,6939.92,402.33,1058.71,225.8,725.43
9/28/2018,21.21,93.67,2385.31,2715.63,2207.29,6884.35,399.34,1045.35,223.36,714.22
10/1/2018,21.37,92.88,2401.82,2767.53,2203.79,6872.97,404.13,1069.48,223.47,708.71
10/2/2018,20.98,91.77,2389.37,2755.19,2188.54,6749.04,401.35,1098.3,222.61,710.9
10/4/2018,21.34,93.56,2392.35,2706.28,2163,6717.13,398.2,1069.3,225.27,698.03
10/5/2018,22.16,93.04,2299.4,2690.86,2140.04,6611.16,394.37,1046.42,223.75,680.18
10/8/2018,21.94,90.78,2246.28,2671.34,2132.96,6547.03,383.69,1014.32,222.19,669.34
10/9/2018,20.79,91.22,2261.43,2646.31,2146.38,6505.78,374.99,1011.03,221.12,667.34
10/10/2018,19.46,91.31,2191.25,2571.87,2105.01,6318.98,365.82,967.79,226.79,652.82
10/11/2018,19.87,89.92,2161.16,2517.01,2069.13,6194.78,364.57,966.99,222.54,651.12
10/12/2018,20.37,89.49,2154.52,2513.59,2058.63,6231.19,369.56,977.42,220.35,652.01
10/15/2018,18.58,90.49,2171.3,2525.3,2057.32,6199.28,367.24,973.69,224.61,654.23
10/16/2018,19.29,91.4,2213.77,2545.6,2106.79,6357.74,373.9,1017.35,227.55,663.1
10/17/2018,19.27,92.24,2235.07,2532.31,2136.11,6350.76,377.92,1021.7,229.45,664.53
10/18/2018,19.74,90.84,2209.59,2526.78,2143.99,6276.44,379.34,980.97,232.06,666.02
10/19/2018,19.71,90.3,2127.23,2494.26,2157.65,6173.05,378.94,953.62,233.36,676.01
10/22/2018,19,89.36,2117.01,2510.11,2159.77,6149.48,376.49,966.08,232.15,673.48
10/23/2018,19.23,87.9,2078.54,2473.28,2119.47,6034.9,362.63,928.11,229.7,665.5
10/24/2018,19.61,84.26,1982.34,2440.99,2108.83,6038.71,364.67,881.76,231.39,663.76
10/25/2018,19.08,84.35,1985.31,2486.09,2105.45,6174.29,370.42,886,229.85,666.6
10/26/2018,18.28,82.17,1987.06,2471.11,2110.35,6102.77,369.8,869.72,225.2,660.53
10/29/2018,16.68,83.27,2011.76,2498.98,2099.49,6161.68,373.25,917.29,226.58,660.18
10/30/2018,16.02,83.29,2008.76,2489.53,2106.15,6075,370.14,924.66,228.92,657.28
10/31/2018,16.36,84.14,2057.6,2532.09,2120.83,6241.41,378.81,963.51,230.1,661.84
11/1/2018,15.62,86.13,2045.71,2527.93,2128.02,6235.01,385.99,996.33,230.1,666.63
11/2/2018,17.08,88.08,2099.75,2546.97,2118.63,6271,389.79,1008.23,229.1,669.96
11/5/2018,17.23,87.63,2084.84,2548.4,2098.86,6238.99,382.08,973.55,229.94,677.51
11/6/2018,17.57,86.2,2094.73,2549.87,2116.58,6223.72,369.93,974.62,230.38,671.97
11/7/2018,18.62,87.19,2100.8,2567.19,2149.61,6264.93,373.88,978.03,233.05,687.06
11/8/2018,19.56,88.41,2111.59,2547.59,2149.88,6274.25,377.81,964.68,232.16,684.21
11/9/2018,19.5,86.99,2036.95,2542.01,2160.95,6181.86,375.77,983.28,231.64,686
11/12/2018,20.5,84.46,2000.16,2515.91,2166.19,6083.12,364.68,910.42,231.2,682.31
11/13/2018,20.14,85.26,2012.25,2546.28,2172.94,6190.91,362.43,940.76,234.52,681.2
11/14/2018,19.73,84.36,2023.06,2509.44,2176.71,6123.52,362.54,947.6,235.74,694.04
11/15/2018,19,82.81,2000.47,2508.85,2147.7,6095.99,355.71,940.98,234.55,693.42
11/16/2018,19.11,82.42,1990.1,2500.81,2172.17,6060.96,354.91,916.74,237.99,706.29
11/19/2018,18.93,82.3,1984.05,2499.53,2139.38,5997.39,343.93,913.47,239.13,711.02
11/20/2018,19.46,78.94,1936.77,2407.74,2112.48,5914.97,338.53,903.25,238.8,708.54
11/21/2018,20.49,80.26,1954.84,2442.16,2146.6,6032.47,344.17,943.17,240.88,707.01
11/22/2018,20.92,79.44,1937.51,2396.53,2139.65,5985.86,343.83,937.49,237.82,696.58
11/23/2018,20.21,78.69,1913.57,2396.63,2152.34,6014.1,344.88,944.37,239.76,693.82
11/26/2018,19.83,81.97,1764.65,2414.33,2156.5,6093.97,347.55,964.29,242.76,702.61
11/27/2018,19.6,81.97,1704.55,2375.79,2163.49,6097.95,346.23,963.98,244.34,706.58
11/28/2018,19.29,81.37,1693.97,2377.49,2170.25,6095.7,348.97,955.59,243.02,698.48
11/29/2018,20.02,79.76,1756.66,2388.29,2173.13,6136.2,350.03,979.08,243.06,690.2
11/30/2018,20.5,77.62,1789.07,2393.16,2173.45,6126.55,341.15,982.32,244.27,690.18
12/3/2018,20.63,79.5,1782.03,2422.14,2153.61,6240.09,345.61,1019.54,243.49,695.53
12/4/2018,20.73,77.11,1756.75,2401.37,2149.97,6135.64,338.09,994.59,243.42,693.38
12/5/2018,19.67,76.78,1731.52,2372.34,2144.46,6034.49,334.06,973.41,241.83,695.63
12/6/2018,19.99,73.12,1670.9,2276.96,2124.85,5803.13,324.18,938.77,237.29,679.5
12/7/2018,20.29,72.87,1680.98,2276.24,2136.53,5813.11,324.88,938.69,238.24,684.99
12/10/2018,20.86,69.27,1641.92,2219.98,2127.19,5713.14,318.41,925.35,235.67,669.48
12/11/2018,20.16,69.93,1648.25,2261.61,2113.08,5771.13,321.82,941.25,237.47,682.19
12/12/2018,21.47,73.62,1705.38,2276.05,2127.2,5902.72,323.71,953.77,239.67,695.67
12/13/2018,22.32,73.08,1701.36,2277.76,2114.1,5893.35,320.59,941.23,237.5,706.59
