"","imf1","imf2","imf3","imf4","imf5","imf6","imf7","residue","date","price","high_f","low_f","trend"
"44",-0.126681583912861,-0.194288943108875,0.0811532490050024,0.398031551395444,-0.110286086378866,-0.519588141073725,-0.249334414303256,6.12245236837714,2013-03-05,5.401458,0.15821427337871,-0.879208641755847,6.12245236837714
"45",-0.0147116205212648,-0.170224805905913,-0.0393320941287542,0.45042645526676,-0.115597745002707,-0.519259750982608,-0.248057722475585,6.09370128375007,2013-03-06,5.436944,0.226157934710829,-0.8829152184609,6.09370128375007
"46",0.0778004549535258,-0.0221188675216407,-0.180546968743344,0.501457122504674,-0.1208039515353,-0.518696918839571,-0.246642474297165,6.06522360347882,2013-03-07,5.555672,0.376591741193215,-0.886143344672036,6.06522360347882
"47",-0.0656656924528741,0.136689212889017,-0.336891552069667,0.550892198338476,-0.125888765825976,-0.51790073681745,-0.245089609433799,6.03701894537227,2013-03-08,5.433164,0.285024166704951,-0.888879112077224,6.03701894537227
"48",0.104676627418512,0.0360126790382364,-0.825809739957763,0.687310329708081,-0.140255453739771,-0.514122318843221,-0.239615301640985,5.95403917801691,2013-03-11,5.062236,0.002189896207067,-0.893993074223977,5.95403917801691
"49",0.000514939405232652,-0.0214781462037554,-0.968944748792775,0.728049492218312,-0.144695297556058,-0.512402840185202,-0.237522049227189,5.92692265034144,2013-03-12,4.770444,-0.261858463372986,-0.894620186968449,5.92692265034144
"50",-0.176942312387283,-0.0351895771788046,-1.08878623443307,0.766036289470867,-0.148934048377067,-0.510454995389519,-0.235296253914674,5.90007713220955,2013-03-13,4.47051,-0.534881834528289,-0.89468529768126,5.90007713220955
"51",0.122805120977578,-0.00764299457224065,-1.17652923648013,0.801039366695041,-0.152955766052131,-0.508279766573558,-0.232938922721331,5.87350219872677,2013-03-14,4.719,-0.260327743379755,-0.89417445534702,5.87350219872677
"52",0.259781343759777,0.0219863148972631,-1.22049074382546,0.832827369120116,-0.156744510430575,-0.505878119506034,-0.230451064724931,5.84719741070985,2013-03-15,4.848228,-0.105895716048305,-0.89307369466154,5.84719741070985
"53",-0.197691762019129,-0.0388587938887543,-1.04692538989334,0.907660667635576,-0.166553502279485,-0.497322376893122,-0.222216227496462,5.76989938483472,2013-03-18,4.507992,-0.375815278165651,-0.886092106669069,5.76989938483472
